category,term,ciel_id,concept_name,concept_class,icd10,icd10_map_type,status,flags,note
Skin & soft tissue,Impetigo,137693,Impetigo,Diagnosis,L01.0,SAME-AS,exact,,
Skin & soft tissue,Dermatophytosis,119508,Dermatophytosis,Diagnosis,B35.9,SAME-AS,exact,,tinea/ringworm
Skin & soft tissue,Scabies,140,Scabies,Diagnosis,B86,SAME-AS,exact,,
Skin & soft tissue,Atopic dermatitis,121348,Atopic dermatitis and related condition,Diagnosis,L20.9,SAME-AS,pinned,,eczema
Skin & soft tissue,Contact dermatitis,165961,Contact dermatitis,Diagnosis,L25.9,NARROWER-THAN,exact,,
Skin & soft tissue,Urticaria,123468,Urticaria,Diagnosis,L50.9,SAME-AS,exact,,
Skin & soft tissue,Acne vulgaris,150126,Acne Vulgaris,Diagnosis,L70.0,SAME-AS,exact,,
Skin & soft tissue,Herpes zoster,117543,Herpes zoster,Diagnosis,B02.9,SAME-AS,exact,,
Skin & soft tissue,Chronic ulcer of skin,120551,Chronic Skin Ulcer,Diagnosis,L98.4,BROADER-THAN,pinned,,tropical ulcer
Eye,Acute conjunctivitis,149866,Acute Conjunctivitis,Diagnosis,H10.3,NARROWER-THAN,exact,,"GHS ""acute eye infection"""
Eye,Allergic conjunctivitis,995,"Conjunctivitis, allergic",Diagnosis,H10.1,NARROWER-THAN,exact,,
Eye,Cataract,120860,Cataract,Diagnosis,H26.9,NARROWER-THAN,exact,,referral dx
Eye,Refractive error,119056,Refractive Error,Diagnosis,H52.7,SAME-AS,exact,,
Eye,Foreign body in eye,113292,Foreign body in eye,Diagnosis,T15.9,SAME-AS,exact,,
Eye,Glaucoma,117789,Glaucoma,Diagnosis,H40.9,SAME-AS,exact,,referral dx
Eye,Hordeolum,138434,Hordeolum,Diagnosis,H00.0,BROADER-THAN,exact,,stye
Neurological,Headache,139084,Headache,Diagnosis,R51,SAME-AS,exact,,
Neurological,Migraine,115779,Migraine,Diagnosis,G43.9,SAME-AS,exact,,
Neurological,Epilepsy,155,Epilepsy,Diagnosis,G40.9,SAME-AS,exact,,
Neurological,Febrile convulsion,140485,Febrile convulsion,Diagnosis,R56.0,SAME-AS,exact,,paediatric
Neurological,Peripheral neuropathy,118983,Peripheral neuropathy,Diagnosis,G60.9,NARROWER-THAN,exact,,diabetic follow-up
Neurological,Vertigo,111525,Vertigo,Diagnosis,R42,NARROWER-THAN,exact,,
Mental health,Depression,119537,Depression,Diagnosis,F32.9,SAME-AS,exact,,
Mental health,Anxiety disorder,121540,Anxiety disorder,Diagnosis,F41.9,SAME-AS,exact,,
Mental health,Acute psychosis,154937,Acute and transient psychotic disorder,Diagnosis,F23.9,SAME-AS,pinned,,CIEL name: Acute and transient psychotic disorder; referral dx
Mental health,Insomnia,116743,Insomnia,Diagnosis,G47.0,NARROWER-THAN,exact,,
Mental health,Alcohol use disorder,166221,Mental or behavioral disorder due to alcohol use,Diagnosis,F10.9,NARROWER-THAN,pinned,,
Injuries,Road traffic accident,133924,Motor Vehicle Accident (Victim),Diagnosis,V89.2,SAME-AS,pinned,,CIEL name: Motor vehicle accident (victim); CIEL 86 carries a wrong ICD map (N25.8) — reported upstream
Injuries,Head injury,116838,Head injury,Diagnosis,S09.9,SAME-AS,exact,,referral dx
Injuries,Laceration,136181,Laceration of skin,Diagnosis,T14.1,SAME-AS,exact,,open wound
Injuries,Contusion,119866,Contusion,Diagnosis,T14.0,NARROWER-THAN,exact,,soft tissue injury
Injuries,Burn,116543,Burn,Diagnosis,T30.0,NARROWER-THAN,exact,,
Injuries,Dog bite,166,"Bite, dog",Diagnosis,T14.1,NARROWER-THAN,exact,,rabies exposure pathway
Injuries,Snake bite,126323,Snake bite,Diagnosis,T63.0,SAME-AS,exact,,rural clinics
Injuries,Insect bite,114795,Insect Bites and Stings,Diagnosis,T14.0,NARROWER-THAN,pinned,,CIEL name: Insect bites and stings
Injuries,Foreign body in ear,139962,Foreign Body in Ear,Diagnosis,T16,SAME-AS,exact,,common paediatric ENT
General,Dehydration,142630,Dehydration,Diagnosis,E86,NARROWER-THAN,exact,,
General,Allergic reaction,121689,Allergy,Diagnosis,T78.4,NARROWER-THAN,exact,,
General,Epistaxis,133499,Nasal haemorrhage,Diagnosis,R04.0,NARROWER-THAN,exact,,
